City,Date,PM2_5,PM10,NO2,SO2
"Punjab Agricultural University, Ludhiana, India",2024-04-23 16:00:00,155.0,71.0,6.6,5.7
"Model Town, Patiala, India",2024-04-23 16:00:00,62.0,51.0,8.8,7.3
"Ratanpura, Rupnagar, India",2024-04-23 16:00:00,88.0,47.0,NaN,5.0
"Civil Lines, Ajmer, India",2024-04-23 16:00:00,72.0,52.0,6.2,5.2
"Moti Doongri, Alwar, India",2024-04-23 16:00:00,82.0,49.0,12.6,9.7
"Tulle centre, France",2024-04-23 12:00:00,NaN,10.0,1.4,NaN
"Police Commissionerate, Jaipur, India",2024-04-23 16:00:00,76.0,46.0,10.3,8.1
"Collectorate, Jodhpur, India",2024-04-23 16:00:00,99.0,63.0,1.8,4.1
"Shrinath Puram, Kota, India",2024-04-23 16:00:00,125.0,70.0,4.2,4.5
"Indira Colony Vistar, Pali, India",2024-04-23 16:00:00,86.0,81.0,6.8,3.5
"Ashok Nagar, Udaipur, India",2024-04-23 16:00:00,88.0,65.0,10.3,3.8
"Zero Point GICI, Gangtok, India",2024-04-23 16:00:00,72.0,62.0,0.7,5.2
"Chennai US Consulate, Chennai, India (चेन्नई अमेरिकी वाणिज्य दूतावास)",2024-04-23 15:00:00,50.0,NaN,NaN,NaN
"SIDCO Kurichi, Coimbatore, India",2023-07-21 11:00:00,87.0,58.0,0.5,7.2
"Mendonsa Colony, Dindigul, India",2023-07-25 10:00:00,61.0,41.0,0.1,17.0
"Chalai Bazaar, Ramanathapuram, India",2024-04-23 15:00:00,66.0,35.0,NaN,3.4
"Salem, Oregon, USA",2024-04-23 02:00:00,17.0,NaN,NaN,NaN
"Kumaran College, Tirupur, India",2024-04-23 16:00:00,45.0,57.0,5.2,9.9
"Meelavittan, Thoothukudi, India",2024-04-23 16:00:00,NaN,92.0,14.0,11.9
"Bombay Castel, Ooty, India",2024-04-23 16:00:00,25.0,15.0,7.2,5.5
"Hyderabad US Consulate, India (हैदराबाद अमेरिकी वाणिज्य दूतावास)",2024-04-22 14:00:00,117.0,NaN,NaN,NaN
"IITH Kandi, Hyderabad, India",2024-04-23 16:00:00,65.0,56.0,3.9,3.5
"Bardowali, Agartala, India",2024-04-23 16:00:00,145.0,96.0,2.8,12.4
"Sanjay Palace, Agra, India",2024-04-23 16:00:00,19.0,23.0,9.3,57.6
"Rajendra Nagar, Bareilly, India",2024-04-23 14:00:00,44.0,45.0,0.9,18.4
"Yamunapuram, Bulandshahr, India",2024-04-23 16:00:00,59.0,118.0,6.0,10.4
"Sanjay Nagar, Ghaziabad, India",2024-04-23 16:00:00,88.0,156.0,7.9,5.7
"Madan Mohan Malaviya University of Technology, Gorakhpur, India",2024-04-23 16:00:00,73.0,62.0,0.7,14.0
"Shivaji Nagar, Jhansi, India",2024-04-23 16:00:00,52.0,20.0,7.9,6.3
"FTI Kidwai Nagar, Kanpur, India",2024-04-23 16:00:00,87.0,66.0,6.1,10.1
"B R Ambedkar University, Lucknow, India",2024-04-23 16:00:00,75.0,63.0,4.3,11.2
"Omex Eternity, Vrindavan, India",2024-04-23 16:00:00,33.0,75.0,1.0,16.7
"Pallavpuram Phase 2, Meerut, India",2024-04-23 16:00:00,85.0,452.0,9.8,5.7
"Jigar Colony, Moradabad, India",2024-04-23 16:00:00,101.0,406.0,7.0,4.6
"New Mandi, Muzaffarnagar, India",2024-04-23 16:00:00,108.0,339.0,6.8,7.4
"Maldahiya, Varanasi, India",2024-04-23 16:00:00,43.0,19.0,0.7,10.9
"Doon University, Dehradun, India",2024-04-23 16:00:00,91.0,124.0,0.4,1.0
"Flag Pole, Woodstock School, Mussoorie, India, India",NaN,NaN,NaN,NaN,NaN
"Asansol Court Area, Asansol, India",2024-04-23 16:00:00,166.0,91.0,9.7,4.6
"Ghusuri, Howrah, India",2024-04-23 16:00:00,155.0,77.0,7.0,1.7
"Rabindra Bharati University, Kolkata, India",2024-04-23 16:00:00,102.0,54.0,6.9,2.4
"Bidhannagar, Kolkata, India",2024-04-23 16:00:00,138.0,57.0,15.1,10.5
"Sidhu Kanhu Indoor Stadium, Durgapur, India",2024-04-23 16:00:00,147.0,74.0,9.8,11.0
"Victoria, Kolkata, India",2024-04-23 16:00:00,91.0,65.0,7.6,8.9
"Rabindra Bharati University, Kolkata, India",2024-04-23 16:00:00,102.0,54.0,6.9,2.4
"Kolkata US Consulate, India (कोलकाता अमेरिकी वाणिज्य दूतावास)",2024-04-23 15:00:00,109.0,NaN,NaN,NaN
"Rabindra Bharati University, Kolkata, India",2024-04-23 16:00:00,102.0,54.0,6.9,2.4
"Ward-32 Bapupara, Siliguri, India",2024-04-23 16:00:00,129.0,86.0,13.9,2.9
